num_epoch,Checkpoint,Method,data_set,Total_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
1.0,12,KL,forget05,5,phi,0.3873333333333333,0.3739980798528777,0.4540155602818996,0.7414529914529915,0.4115548419057418,0.5014237607880195,0.9213480067903188,0.9312687127930456,0.484390468084005,0.9324412299112882,0.9316437738737936,0.4720095226626791,0.5156237353138797,2.962348735693602e-13
2.0,24,KL,forget05,5,phi,0.479,0.3599364979045047,0.4365846484124603,0.7948717948717948,0.4079079187254488,0.4946048375555748,0.8314033851738961,0.8734834934260178,0.470572357416061,0.6913329843714163,0.7817861842304005,0.4946146824125736,0.5184161601710778,5.951062636424447e-11
3.0,36,KL,forget05,5,phi,0.3253333333333333,0.3408419186485443,0.40881802865869,0.6652421652421652,0.3490476740613538,0.41272475907955,0.3879387138154699,0.0702396752727175,0.4102441049874556,0.3530400601133301,0.039876703422232,0.6078614753474807,0.2608915094263602,0.0118434497600854
4.0,48,KL,forget05,5,phi,0.002,0.2587217193076832,0.3597508169576393,0.0309116809116809,0.2394905417823941,0.2679136531324442,0.139088535582809,1.2828956868590736e-07,0.2598701938738629,0.1388336099153792,4.312786595322929e-08,0.6344146405330714,1.1545234796937402e-06,1.3921047931216453e-06
5.0,60,KL,forget05,5,phi,0.0,0.2800186163871307,0.3700145416539231,0.0017094017094017,0.2618343851931313,0.3137462693821528,0.0062581470499959,3.751494695843273e-23,0.1447974771609776,0.0047427075343216,1.6576234765919016e-23,0.7542841638918025,0.0,1.427569962153298e-12
